State,Area_Name,Age,Total_Population,Total_Males,Total_Females,Rural_Persons  ,Rural_Males,Rural_Females,Urban_Persons  ,Urban_Males,Urban_Females,Age_Category,Gender_Ratio,Urban_Percentage,Rural_Percentage
0,India,All ages,1210854977,623270258,587584719,833748852,427781058,405967794,377106125,195489200,181616925,All Ages,94.27446785,31.14378948,68.85621052
0,India,0,20311234,10633298,9677936,14884690,7784009,7100681,5426544,2849289,2577255,Age-wise,91.01537453,26.7169587,73.2830413
0,India,1,21755197,11381468,10373729,15731709,8216086,7515623,6023488,3165382,2858106,Age-wise,91.14579068,27.68758196,72.31241804
0,India,2,23056268,11952853,11103415,17065758,8827253,8238505,5990510,3125600,2864910,Age-wise,92.89342887,25.98213206,74.01786794
0,India,3,23974041,12331431,11642610,17778869,9116778,8662091,6195172,3214653,2980519,Age-wise,94.41410328,25.84116712,74.15883288
0,India,4,23710038,12333024,11377014,17525634,9092251,8433383,6184404,3240773,2943631,Age-wise,92.24837315,26.08348413,73.91651587
0,India,5,26054230,13725480,12328750,19294779,10139548,9155231,6759451,3585932,3173519,Age-wise,89.82381673,25.94377573,74.05622427
0,India,6,25654245,13394700,12259545,19041426,9908524,9132902,6612819,3486176,3126643,Age-wise,91.52534211,25.77670479,74.22329521
0,India,7,24826640,12903364,11923276,18149844,9399767,8750077,6676796,3503597,3173199,Age-wise,92.40439935,26.8936755,73.1063245
0,India,8,26968373,14061937,12906436,20206981,10497018,9709963,6761392,3564919,3196473,Age-wise,91.78277502,25.07156068,74.92843932
0,India,9,23424638,12214985,11209653,17114582,8880402,8234180,6310056,3334583,2975473,Age-wise,91.76968289,26.93768843,73.06231157
0,India,10,30552107,16089436,14462671,22687766,11899758,10788008,7864341,4189678,3674663,Age-wise,89.8892354,25.74074842,74.25925158
0,India,11,24740946,12962604,11778342,17851313,9319598,8531715,6889633,3643006,3246627,Age-wise,90.86401158,27.84708798,72.15291202
0,India,12,27877307,14637892,13239415,20589319,10781450,9807869,7287988,3856442,3431546,Age-wise,90.44618583,26.14308477,73.85691523
0,India,13,24280683,12563775,11716908,17490173,9024384,8465789,6790510,3539391,3251119,Age-wise,93.25945426,27.96671741,72.03328259
0,India,14,25258169,13165128,12093041,18185923,9462968,8722955,7072246,3702160,3370086,Age-wise,91.85661545,27.99983641,72.00016359
0,India,15,25899454,13739746,12159708,18593646,9873668,8719978,7305808,3866078,3439730,Age-wise,88.50023865,28.20834756,71.79165244
0,India,16,24592293,13027935,11564358,17433799,9253785,8180014,7158494,3774150,3384344,Age-wise,88.76585583,29.10868864,70.89131136
0,India,17,21217467,11349449,9868018,14448773,7754277,6694496,6768694,3595172,3173522,Age-wise,86.94711082,31.90151774,68.09848226
0,India,18,27958147,15020851,12937296,19559614,10518623,9040991,8398533,4502228,3896305,Age-wise,86.12891507,30.0396625,69.9603375
0,India,19,20859088,10844415,10014673,13866640,7170204,6696436,6992448,3674211,3318237,Age-wise,92.3486698,33.52230932,66.47769068
0,India,20,28882735,14892165,13990570,19978794,10285627,9693167,8903941,4606538,4297403,Age-wise,93.94584333,30.82790117,69.17209883
0,India,21,19978972,10532278,9446694,12952796,6856190,6096606,7026176,3676088,3350088,Age-wise,89.69279011,35.16785548,64.83214452
0,India,22,23528225,12392976,11135249,15742514,8334303,7408211,7785711,4058673,3727038,Age-wise,89.85129157,33.09094077,66.90905923
0,India,23,19154055,9674189,9479866,12391339,6201615,6189724,6762716,3472574,3290142,Age-wise,97.99132516,35.30696764,64.69303236
0,India,24,19880235,10093085,9787150,12769603,6460927,6308676,7110632,3632158,3478474,Age-wise,96.96886532,35.7673438,64.2326562
0,India,25,27768078,14311524,13456554,18881232,9850468,9030764,8886846,4461056,4425790,Age-wise,94.0260031,32.00382108,67.99617892
0,India,26,20076997,10315030,9761967,12914351,6648839,6265512,7162646,3666191,3496455,Age-wise,94.63828026,35.6758832,64.3241168
0,India,27,16709350,8552032,8157318,10451269,5330170,5121099,6258081,3221862,3036219,Age-wise,95.3845589,37.45256997,62.54743003
0,India,28,22127016,10719926,11407090,14730861,6997429,7733432,7396155,3722497,3673658,Age-wise,106.4101562,33.42590343,66.57409657
0,India,29,14732524,7445696,7286828,9090557,4549083,4541474,5641967,2896613,2745354,Age-wise,97.86631095,38.29599735,61.70400265
0,India,30,30399029,15628996,14770033,20870895,10787880,10083015,9528134,4841116,4687018,Age-wise,94.50404236,31.34354719,68.65645281
0,India,31,13823245,7157502,6665743,8512794,4388631,4124163,5310451,2768871,2541580,Age-wise,93.12946053,38.41681892,61.58318108
0,India,32,17613544,8801105,8812439,11567758,5690555,5877203,6045786,3110550,2935236,Age-wise,100.1287793,34.32464245,65.67535755
0,India,33,12764541,6108879,6655662,8163530,3766672,4396858,4601011,2342207,2258804,Age-wise,108.9506274,36.04525223,63.95474777
0,India,34,13994592,6964192,7030400,8796802,4300454,4496348,5197790,2663738,2534052,Age-wise,100.9506918,37.14141863,62.85858137
0,India,35,28422631,15036666,13385965,19443380,10411274,9032106,8979251,4625392,4353859,Age-wise,89.0221609,31.59190646,68.40809354
0,India,36,15827717,8067568,7760149,10277082,5232618,5044464,5550635,2834950,2715685,Age-wise,96.18944644,35.06908166,64.93091834
0,India,37,11692231,5784879,5907352,7314107,3562106,3752001,4378124,2222773,2155351,Age-wise,102.1171229,37.44472719,62.55527281
0,India,38,17471758,8090401,9381357,11732906,5274806,6458100,5738852,2815595,2923257,Age-wise,115.956638,32.84644854,67.15355146
0,India,39,11726347,5939867,5786480,7295232,3644757,3650475,4431115,2295110,2136005,Age-wise,97.41766945,37.78768443,62.21231557
0,India,40,28528992,15173411,13355581,19843604,10642393,9201211,8685388,4531018,4154370,Age-wise,88.01963514,30.44407598,69.55592402
0,India,41,11567894,6172297,5395597,7204399,3850816,3353583,4363495,2321481,2042014,Age-wise,87.41635407,37.7207381,62.2792619
0,India,42,13380642,6856826,6523816,8687455,4393679,4293776,4693187,2463147,2230040,Age-wise,95.14337975,35.07445308,64.92554692
0,India,43,9334352,4468914,4865438,5869523,2695097,3174426,3464829,1773817,1691012,Age-wise,108.8729387,37.11911657,62.88088343
0,India,44,9626232,4873938,4752294,5976027,2983250,2992777,3650205,1890688,1759517,Age-wise,97.50419476,37.91935411,62.08064589
0,India,45,23872961,12685175,11187786,16396175,8815165,7581010,7476786,3870010,3606776,Age-wise,88.19575607,31.3190559,68.6809441
0,India,46,10992678,5735540,5257138,6964766,3627761,3337005,4027912,2107779,1920133,Age-wise,91.65898939,36.64177191,63.35822809
0,India,47,7951297,4043122,3908175,4832885,2402373,2430512,3118412,1640749,1477663,Age-wise,96.662307,39.21890982,60.78109018
0,India,48,11649592,5568554,6081038,7692893,3545588,4147305,3956699,2022966,1933733,Age-wise,109.2031791,33.96427102,66.03572898
0,India,49,7851799,4105723,3746076,4801509,2473383,2328126,3050290,1632340,1417950,Age-wise,91.24034914,38.84829451,61.15170549
0,India,50,21462422,11379329,10083093,15033860,8073403,6960457,6428562,3305926,3122636,Age-wise,88.60885383,29.95264001,70.04735999
0,India,51,7885966,4323584,3562382,4897835,2688304,2209531,2988131,1635280,1352851,Age-wise,82.39418964,37.89175606,62.10824394
0,India,52,7735164,4068700,3666464,4889862,2522481,2367381,2845302,1546219,1299083,Age-wise,90.11389387,36.78399062,63.21600938
0,India,53,5590790,2808043,2782747,3362750,1595790,1766960,2228040,1212253,1015787,Age-wise,99.09915909,39.85197083,60.14802917
0,India,54,6394912,3263610,3131302,3847481,1909569,1937912,2547431,1354041,1193390,Age-wise,95.94596168,39.83527842,60.16472158
0,India,55,15607546,7769352,7838194,10898605,5431617,5466988,4708941,2337735,2371206,Age-wise,100.8860713,30.17092501,69.82907499
0,India,56,7071837,3666804,3405033,4490778,2289924,2200854,2581059,1376880,1204179,Age-wise,92.86105829,36.49771622,63.50228378
0,India,57,4599026,2339391,2259635,2775906,1340895,1435011,1823120,998496,824624,Age-wise,96.59073665,39.64143712,60.35856288
0,India,58,6718934,3072508,3646426,4457250,1889347,2567903,2261684,1183161,1078523,Age-wise,118.6791377,33.66135164,66.33864836
0,India,59,5148712,2607957,2540755,3238975,1584746,1654229,1909737,1023211,886526,Age-wise,97.42319371,37.09154833,62.90845167
0,India,60,17810689,8677046,9133643,13096491,6436908,6659583,4714198,2240138,2474060,Age-wise,105.2621249,26.46836403,73.53163597
0,India,61,6026813,3095448,2931365,4023713,2048828,1974885,2003100,1046620,956480,Age-wise,94.6992164,33.23647175,66.76352825
0,India,62,5745143,2892015,2853128,3958007,1944840,2013167,1787136,947175,839961,Age-wise,98.65536659,31.10690195,68.89309805
0,India,63,3994105,1977207,2016898,2545532,1188291,1357241,1448573,788916,659657,Age-wise,102.0074276,36.26777463,63.73222537
0,India,64,4086957,2060033,2026924,2667502,1312725,1354777,1419455,747308,672147,Age-wise,98.39279274,34.73134168,65.26865832
0,India,65,13022352,6275854,6746498,9771237,4778898,4992339,3251115,1496956,1754159,Age-wise,107.4992822,24.96565137,75.03434863
0,India,66,4511946,2278670,2233276,3132575,1578235,1554340,1379371,700435,678936,Age-wise,98.00787301,30.57153166,69.42846834
0,India,67,2605082,1353711,1251371,1693052,853910,839142,912030,499801,412229,Age-wise,92.44004075,35.00964653,64.99035347
0,India,68,3548373,1640034,1908339,2471777,1082054,1389723,1076596,557980,518616,Age-wise,116.3597218,30.34055326,69.65944674
0,India,69,2767230,1396057,1371173,1847629,915214,932415,919601,480843,438758,Age-wise,98.21755129,33.23182388,66.76817612
0,India,70,10986280,5393714,5592566,8376640,4200393,4176247,2609640,1193321,1416319,Age-wise,103.6867361,23.75362725,76.24637275
0,India,71,3084183,1584873,1499310,2122979,1092924,1030055,961204,491949,469255,Age-wise,94.60127089,31.16559556,68.83440444
0,India,72,2250929,1176727,1074202,1514640,781046,733594,736289,395681,340608,Age-wise,91.28727394,32.71044977,67.28955023
0,India,73,1366536,708381,658155,844391,419187,425204,522145,289194,232951,Age-wise,92.90974772,38.2093849,61.7906151
0,India,74,1520914,787804,733110,948950,484629,464321,571964,303175,268789,Age-wise,93.05741022,37.60659709,62.39340291
0,India,75,4772346,2278704,2493642,3497157,1704760,1792397,1275189,573944,701245,Age-wise,109.4324669,26.72038029,73.27961971
0,India,76,1667133,832251,834882,1108540,554907,553633,558593,277344,281249,Age-wise,100.3161306,33.50620496,66.49379504
0,India,77,835048,438394,396654,507424,259533,247891,327624,178861,148763,Age-wise,90.47888429,39.23415181,60.76584819
0,India,78,1068415,506957,561458,697401,316519,380882,371014,190438,180576,Age-wise,110.7506159,34.725645,65.274355
0,India,79,889561,434297,455264,573195,277705,295490,316366,156592,159774,Age-wise,104.8278022,35.56428396,64.43571604
0,India,80,3784938,1725200,2059738,2851018,1339866,1511152,933920,385334,548586,Age-wise,119.391259,24.6746446,75.3253554
0,India,81,1027816,491522,536294,700733,339922,360811,327083,151600,175483,Age-wise,109.1088497,31.82310842,68.17689158
0,India,82,603793,306378,297415,388663,197791,190872,215130,108587,106543,Age-wise,97.07452885,35.62976053,64.37023947
0,India,83,380185,192946,187239,224362,112696,111666,155823,80250,75573,Age-wise,97.0421776,40.98609887,59.01390113
0,India,84,423497,210994,212503,255106,129155,125951,168391,81839,86552,Age-wise,100.7151862,39.76202901,60.23797099
0,India,85,1264798,580527,684271,896870,428233,468637,367928,152294,215634,Age-wise,117.8706589,29.08986257,70.91013743
0,India,86,447898,215850,232048,286266,141742,144524,161632,74108,87524,Age-wise,107.5042854,36.08678762,63.91321238
